Well,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,0.0534,0.9339,0.0014,1594.04,-3.9879,0.0014,0.0015,0.0014,0.0014
B3,0,0,0,0,0,0,0,0,0
B4,0.0535,-0.8236,0.0013,1783.5488,-4.1509,NA,NA,0.0013,0.0013
B5,0,0,0,0,0,0,0,0,0
B6,0.049,-0.9355,0.0012,1666.9383,-4.1356,0.0012,0.0013,0.0012,0.0012
B7,0.0525,0.9754,0.0014,1642.7456,-3.6352,0.0013,0.0014,0.0013,0.0014
C2,0.0532,1.0125,0.0013,1535.2055,-4.4906,NA,NA,0.0013,0.0013
C3,0.0476,-1.0252,0.001,1487.787,-4.1693,NA,NA,0.001,0.001
C4,0.0489,0.9962,0.001,1565.6774,-4.084,NA,NA,9e-04,0.001
C5,0.0496,1.0219,0.0011,1529.5727,-4.5048,NA,NA,0.001,0.0011
C6,0.0472,-1.0095,0.0011,1517.8327,-4.2817,NA,NA,0.0011,0.0011
C7,0.0502,0.9168,0.0011,1716.7982,-3.8246,NA,NA,0.0011,0.0012
D2,0.0482,0.9793,0.001,1544.0037,-4.4863,NA,NA,0.001,0.001
D3,0,0,0,0,0,0,0,0,0
D4,0.0513,1.0059,0.0012,1536.728,-4.087,0.0011,0.0012,0.0011,0.0012
D5,0.0472,0.9262,9e-04,1666.5886,-4.1674,NA,NA,9e-04,9e-04
D6,0.0497,1.0146,0.0012,1538.9543,-4.1696,0.0012,0.0012,0.0012,0.0012
D7,0.0562,0.9404,0.0014,1606.9923,-3.9237,0.0014,0.0015,0.0014,0.0015
E2,0.0513,0.9956,0.0013,1601.3941,-3.62,0.0012,0.0013,0.0013,0.0013
E3,0,0,0,0,0,0,0,0,0
E4,0.0477,1.0397,0.0011,1551.2137,-3.5901,NA,NA,0.0011,0.0012
E5,0.0507,0.9866,0.0012,1605.7393,-4.1038,NA,NA,0.0012,0.0013
E6,0.0504,1.0043,0.0012,1556.8666,-3.5412,0.0012,0.0013,0.0012,0.0012
E7,0.0534,0.8429,0.0014,2025.2092,-3.9308,NA,NA,0.0014,0.0014
