Well,KBS,Treatment,Replicate
B2,703,0.001,1
B3,703,10,3
B4,703,1,4
B5,703,10,2
B6,703,0.1,2
B7,703,0,3
C2,703,0,4
C3,703,0.01,1
C4,703,0.1,3
C5,703,0.01,3
C6,703,0.001,2
C7,703,1,2
D2,703,0.1,1
D3,703,10,2
D4,703,0,1
D5,703,1,1
D6,703,0.01,4
D7,703,0.001,3
E2,703,0.01,2
E3,703,10,4
E4,703,0.001,4
E5,703,0.1,4
E6,703,0,2
E7,703,1,3
