Plate	Rpf	Plate.Width	Plate.Height	Pixels	Hrs
1	0	214.08	194.34	81	48
2	15.6	213.59	175.99	260	48
3	39	213.15	183.44	520	48
4	52	214.3	222.73	361	48
5	78.2	214.02	236.1	116	48
6	156.6	204.36	220.54	15	48
1	0	275.14	239.93	685	96
2	15.6	279.69	240.7	2632	96
3	39	280.34	235.81	7070	96
4	52	279.76	239.94	13698	96
5	78.2	279.56	245.06	6351	96
6	156.6	281.64	242.35	2538	96
