Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
X703.C.1,0.0437,1.8177,0.1493,22.2984,-3.7974,0.1351,0.1654,0.1366,0.1621
X703.C.2,0.0233,1.5215,0.1586,23.0769,-4.3137,0.1477,0.1705,0.149,0.1681
X703.C.3,0.0193,1.5557,0.1536,23.3701,-3.9459,0.1395,0.1694,0.1411,0.1661
X703.C.4,0.0187,1.6613,0.144,23.3945,-4.4248,0.136,0.1524,0.1371,0.1509
X706.C.1,0.0286,1.4467,0.1328,22.4457,-4.1168,0.1224,0.1441,0.1234,0.1421
X706.C.2,0.0344,1.476,0.1463,23.0543,-4.2634,0.1366,0.1566,0.1377,0.1548
X706.C.3,0.027,1.4242,0.1504,22.9104,-4.2272,0.14,0.1619,0.1408,0.16
X706.C.4,5e-04,1.4725,0.1438,23.1487,-5.226,0.1402,0.1476,0.1406,0.147
X715.C.1,0.0065,0.82,0.1698,31.3046,-4.7413,0.1078,0.302,NA,NA
X715.C.2,0,0.6723,0.126,31.8996,-4.8921,NA,1.6831,0.7578,1.0941
X715.C.3,0,0.6721,0.1727,31.2926,-5.0365,0.1255,0.2443,0.0339,0.3116
X715.C.4,0.0045,0.7221,0.1254,31.0097,-5.0571,0.0965,0.1975,NA,NA
X703.R.1,0.039,1.4147,0.137,23.2269,-4.6035,0.1297,0.1448,0.1306,0.1434
X703.R.2,0.0604,1.4384,0.1292,22.4745,-3.1829,0.1077,0.1553,0.1083,0.1501
X703.R.3,0.0153,1.4491,0.126,23.0799,-4.1777,0.1159,0.1369,0.1172,0.1348
X703.R.4,0.042,1.371,0.1313,23.425,-5.1545,0.127,0.1356,0.1276,0.1349
X706.R.1,0.0157,1.2744,0.1233,23.6577,-3.8037,0.1101,0.1392,0.1106,0.136
X706.R.2,0.029,1.3663,0.1329,23.2273,-4.224,0.1223,0.1446,0.1236,0.1423
X706.R.3,0.0208,1.3215,0.1329,23.3891,-5.3194,0.1297,0.1363,0.13,0.1359
X706.R.4,0.0249,1.3071,0.1521,23.7093,-4.3906,0.1419,0.1634,0.1429,0.1613
X715.R.1,0,0.914,0.1104,31.4146,-14.3623,NA,NA,0.1102,0.1105
X715.R.2,0.016,0.742,0.1883,31.5802,-4.5236,0.1337,0.4462,-0.0022,0.3789
X715.R.3,0.022,0.8562,0.121,30.6662,-3.8888,0.0744,NA,NA,NA
X715.R.4,0.0175,0.8224,0.1224,30.7327,-3.9833,0.0733,0.2658,NA,NA
