Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
X714.C.1,0.0299,15.0395,0.1207,99.3316,-4.1941,NA,NA,-0.0304,0.2718
X714.C.2,0.0739,-0.1361,0.0261,59.4137,-3.8538,0.008,NA,NA,NA
X714.C.3,0.0398,-0.5426,0.0369,61.6552,-3.8575,0.0142,0.0596,-0.1229,0.1967
X714.C.4,0.0399,-0.1281,0.0219,61.5709,-4.2012,-0.6133,NA,-0.0057,0.0494
X711.C.1,0.0085,0.8904,0.0732,16.8635,-4.6417,0.0662,0.0837,0.0664,0.08
X711.C.2,0.0011,0.7987,0.0738,17.2594,-5.8438,0.0706,0.078,0.0708,0.0768
X711.C.3,0.0187,0.8261,0.088,18.1007,-4.5792,0.0728,0.1101,0.0638,0.1123
X711.C.4,0.0053,1.0116,0.054,15.6389,-3.7247,0.0445,0.0677,0.0447,0.0632
X812.C.1,0.0329,0.3311,0.048,17.97,-3.7095,0.0257,0.2773,0.0112,0.0848
X812.C.2,0.0425,0.3879,0.0521,17.0214,-5.4941,0.0465,0.0723,0.0461,0.058
X812.C.3,0.038,0.4521,0.1199,19.0804,-3.6874,0.0594,NA,0.0579,0.1818
X812.C.4,0.0417,0.4518,0.1105,20.0233,-4.0543,0.0494,0.5204,0.088,0.133
X714.R.2,0.018,0.2602,0.0347,38.5907,-4.1962,0.0183,0.0919,0.0062,0.0633
X714.R.3,0.0418,0.3208,0.0685,41.8593,-4.2342,0.0407,NA,-0.1515,0.2886
X714.R.4,0.0325,0.0325,1,-5,-36.8607,NA,NA,1,1
X711.R.1,0.0034,0.955,0.0649,16.4768,-4.5872,0.0591,0.0723,0.0596,0.0703
X711.R.2,0.036,1.0696,0.079,17.837,-4.147,0.0652,0.0957,0.061,0.097
X711.R.3,0.0577,0.9508,0.0579,16.5504,-4.9461,0.0543,0.0622,0.0545,0.0612
X711.R.4,0.0083,0.9432,0.1795,21.2023,-4.6963,NA,NA,NA,NA
X812.R.1,0.0187,0.4037,0.1017,20.2778,-3.9169,0.0406,0.4747,0.0762,0.1271
X812.R.2,0.011,-0.4825,0.0428,23.4359,-4.5099,0.0358,0.0517,0.0364,0.0493
X812.R.3,0.01,-0.5566,0.0334,18.3991,-6.2672,0.0316,0.0357,0.0316,0.0351
X812.R.4,-4e-04,0.4052,0.0316,15.4712,-3.6591,0.0202,0.0871,0.0186,0.0445
