Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
X701.C.1,0.0179,1.2848,0.1401,22.1868,-3.299,0.1095,0.1926,0.1078,0.1723
X701.C.2,0.0246,1.3423,0.1899,22.3874,-3.4864,0.1482,0.343,0.1389,0.241
X701.C.3,0.0052,1.324,0.1567,22.0922,-3.9325,0.1368,0.1843,0.1365,0.177
X701.C.4,0.019,1.2636,0.1393,22.3009,-3.5196,0.1152,0.1744,0.1146,0.164
X710.C.1,0.0065,0.8746,0.3633,15.3066,-5.3825,0.0646,0.363,-0.0729,0.7996
X710.C.2,0.03,0.8211,0.1883,14.54,-6.5612,0.1157,0.2609,-0.398,0.7747
X710.C.3,0.0115,0.8182,0.1813,15.3004,-4.812,0.0856,NA,NA,NA
X710.C.4,0.0035,0.8716,0.3957,15.2913,-6.0016,0.3742,0.4171,0.2304,0.5609
X701.R.1,0.0153,1.1813,0.1973,22.6281,-3.2475,0.1321,0.479,0.0903,0.3042
X701.R.2,0.0276,1.1838,0.1556,21.8371,-4.6274,0.1396,0.1781,0.1398,0.1715
X701.R.3,0.0133,1.1267,1.1495,23.7138,-4.247,0.3232,2.0376,-0.4053,2.7044
X701.R.4,0.029,1.0402,0.0805,40.4023,-4.0681,0.0697,0.0983,0.0695,0.0914
X710.R.1,0.035,0.847,0.514,15.5045,-13.888,NA,NA,0.514,0.514
X710.R.2,0.0205,0.8472,0.2289,14.8146,-4.2339,-0.384,2.2094,-3.542,3.9999
X710.R.3,0.0745,0.7581,0.2598,15.2287,-4.903,0.052,0.4677,-1.1276,1.6473
X710.R.4,0.022,0.8491,0.3654,15.1462,-4.364,0.1905,0.5404,-0.7338,1.4647
