Well	Strain	Gram	Phylum	Genus	Treatment 	Run_Num	Rep
A1	KBS0701	Negative	Bacteriodetes	Pedobacter	Rpf+	1	1
A2	KBS0701	Negative	Bacteriodetes	Pedobacter	Rpf+	1	2
A3	KBS0701	Negative	Bacteriodetes	Pedobacter	Rpf+	1	3
A4	KBS0701	Negative	Bacteriodetes	Pedobacter	Rpf+	1	4
A5	KBS0702	Positive	Actinobacteria	Arthrobacter1	Rpf+	1	1
A6	KBS0702	Positive	Actinobacteria	Arthrobacter1	Rpf+	1	2
A7	KBS0702	Positive	Actinobacteria	Arthrobacter1	Rpf+	1	3
A8	KBS0702	Positive	Actinobacteria	Arthrobacter1	Rpf+	1	4
B1	KBS0703	Positive	Actinobacteria	Arthrobacter2	Rpf+	1	1
B2	KBS0703	Positive	Actinobacteria	Arthrobacter2	Rpf+	1	2
B3	KBS0703	Positive	Actinobacteria	Arthrobacter2	Rpf+	1	3
B4	KBS0703	Positive	Actinobacteria	Arthrobacter2	Rpf+	1	4
B5	KBS0706	Positive	Actinobacteria	Mycobacterium	Rpf+	1	1
B6	KBS0706	Positive	Actinobacteria	Mycobacterium	Rpf+	1	2
B7	KBS0706	Positive	Actinobacteria	Mycobacterium	Rpf+	1	3
B8	KBS0706	Positive	Actinobacteria	Mycobacterium	Rpf+	1	4
C1	KBS0705	Negative	Proteobacteria	Azospirillium	Rpf+	1	1
C2	KBS0705	Negative	Proteobacteria	Azospirillium	Rpf+	1	2
C3	KBS0705	Negative	Proteobacteria	Azospirillium	Rpf+	1	3
C4	KBS0705	Negative	Proteobacteria	Azospirillium	Rpf+	1	4
C5	KBS0724	Positive	Actinobacteria	Rhodococcus	Rpf+	1	1
C6	KBS0724	Positive	Actinobacteria	Rhodococcus	Rpf+	1	2
C7	KBS0724	Positive	Actinobacteria	Rhodococcus	Rpf+	1	3
C8	KBS0724	Positive	Actinobacteria	Rhodococcus	Rpf+	1	4
D1	KBS0701	Negative	Bacteriodetes	Pedobacter	Rpf-	1	1
D2	KBS0701	Negative	Bacteriodetes	Pedobacter	Rpf-	1	2
D3	KBS0701	Negative	Bacteriodetes	Pedobacter	Rpf-	1	3
D4	KBS0701	Negative	Bacteriodetes	Pedobacter	Rpf-	1	4
D5	KBS0702	Positive	Actinobacteria	Arthrobacter1	Rpf-	1	1
D6	KBS0702	Positive	Actinobacteria	Arthrobacter1	Rpf-	1	2
D7	KBS0702	Positive	Actinobacteria	Arthrobacter1	Rpf-	1	3
D8	KBS0702	Positive	Actinobacteria	Arthrobacter1	Rpf-	1	4
E1	KBS0703	Positive	Actinobacteria	Arthrobacter2	Rpf-	1	1
E2	KBS0703	Positive	Actinobacteria	Arthrobacter2	Rpf-	1	2
E3	KBS0703	Positive	Actinobacteria	Arthrobacter2	Rpf-	1	3
E4	KBS0703	Positive	Actinobacteria	Arthrobacter2	Rpf-	1	4
E5	KBS0706	Positive	Actinobacteria	Mycobacterium	Rpf-	1	1
E6	KBS0706	Positive	Actinobacteria	Mycobacterium	Rpf-	1	2
E7	KBS0706	Positive	Actinobacteria	Mycobacterium	Rpf-	1	3
E8	KBS0706	Positive	Actinobacteria	Mycobacterium	Rpf-	1	4
F1	KBS0705	Negative	Proteobacteria	Azospirillium	Rpf-	1	1
F2	KBS0705	Negative	Proteobacteria	Azospirillium	Rpf-	1	2
F3	KBS0705	Negative	Proteobacteria	Azospirillium	Rpf-	1	3
F4	KBS0705	Negative	Proteobacteria	Azospirillium	Rpf-	1	4
F5	KBS0724	Positive	Actinobacteria	Rhodococcus	Rpf-	1	1
F6	KBS0724	Positive	Actinobacteria	Rhodococcus	Rpf-	1	2
F7	KBS0724	Positive	Actinobacteria	Rhodococcus	Rpf-	1	3
F8	KBS0724	Positive	Actinobacteria	Rhodococcus	Rpf-	1	4
A1	KBS0710	Negative	Proteobacteria	Pseudomonas	Rpf+	2	1
A2	KBS0710	Negative	Proteobacteria	Pseudomonas	Rpf+	2	2
A3	KBS0710	Negative	Proteobacteria	Pseudomonas	Rpf+	2	3
A4	KBS0710	Negative	Proteobacteria	Pseudomonas	Rpf+	2	4
A5	KBS0711	Negative	Proteobacteria	Janthinobacterium	Rpf+	2	1
A6	KBS0711	Negative	Proteobacteria	Janthinobacterium	Rpf+	2	2
A7	KBS0711	Negative	Proteobacteria	Janthinobacterium	Rpf+	2	3
A8	KBS0711	Negative	Proteobacteria	Janthinobacterium	Rpf+	2	4
B1	KBS0712	Negative	Proteobacteria	Variovorax	Rpf+	2	1
B2	KBS0712	Negative	Proteobacteria	Variovorax	Rpf+	2	2
B3	KBS0712	Negative	Proteobacteria	Variovorax	Rpf+	2	3
B4	KBS0712	Negative	Proteobacteria	Variovorax	Rpf+	2	4
B5	KBS0714	Positive	Actinobacteria	Micrococcus	Rpf+	2	1
B6	KBS0714	Positive	Actinobacteria	Micrococcus	Rpf+	2	2
B7	KBS0714	Positive	Actinobacteria	Micrococcus	Rpf+	2	3
B8	KBS0714	Positive	Actinobacteria	Micrococcus	Rpf+	2	4
C1	KBS0715	Positive	Actinobacteria	Curtobacterium	Rpf+	2	1
C2	KBS0715	Positive	Actinobacteria	Curtobacterium	Rpf+	2	2
C3	KBS0715	Positive	Actinobacteria	Curtobacterium	Rpf+	2	3
C4	KBS0715	Positive	Actinobacteria	Curtobacterium	Rpf+	2	4
C5	KBS0812	Positive	Firmicutes	Bacillus	Rpf+	2	1
C6	KBS0812	Positive	Firmicutes	Bacillus	Rpf+	2	2
C7	KBS0812	Positive	Firmicutes	Bacillus	Rpf+	2	3
C8	KBS0812	Positive	Firmicutes	Bacillus	Rpf+	2	4
D1	KBS0710	Negative	Proteobacteria	Pseudomonas	Rpf-	2	1
D2	KBS0710	Negative	Proteobacteria	Pseudomonas	Rpf-	2	2
D3	KBS0710	Negative	Proteobacteria	Pseudomonas	Rpf-	2	3
D4	KBS0710	Negative	Proteobacteria	Pseudomonas	Rpf-	2	4
D5	KBS0711	Negative	Proteobacteria	Janthinobacterium	Rpf-	2	1
D6	KBS0711	Negative	Proteobacteria	Janthinobacterium	Rpf-	2	2
D7	KBS0711	Negative	Proteobacteria	Janthinobacterium	Rpf-	2	3
D8	KBS0711	Negative	Proteobacteria	Janthinobacterium	Rpf-	2	4
E1	KBS0712	Negative	Proteobacteria	Variovorax	Rpf-	2	1
E2	KBS0712	Negative	Proteobacteria	Variovorax	Rpf-	2	2
E3	KBS0712	Negative	Proteobacteria	Variovorax	Rpf-	2	3
E4	KBS0712	Negative	Proteobacteria	Variovorax	Rpf-	2	4
E5	KBS0714	Positive	Actinobacteria	Micrococcus	Rpf-	2	1
E6	KBS0714	Positive	Actinobacteria	Micrococcus	Rpf-	2	2
E7	KBS0714	Positive	Actinobacteria	Micrococcus	Rpf-	2	3
E8	KBS0714	Positive	Actinobacteria	Micrococcus	Rpf-	2	4
F1	KBS0715	Positive	Actinobacteria	Curtobacterium	Rpf-	2	1
F2	KBS0715	Positive	Actinobacteria	Curtobacterium	Rpf-	2	2
F3	KBS0715	Positive	Actinobacteria	Curtobacterium	Rpf-	2	3
F4	KBS0715	Positive	Actinobacteria	Curtobacterium	Rpf-	2	4
F5	KBS0812	Positive	Firmicutes	Bacillus	Rpf-	2	1
F6	KBS0812	Positive	Firmicutes	Bacillus	Rpf-	2	2
F7	KBS0812	Positive	Firmicutes	Bacillus	Rpf-	2	3
F8	KBS0812	Positive	Firmicutes	Bacillus	Rpf-	2	4
