Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
0,0.04,0.063,0.073,0.048,0.074,0.06,0.071,0.071,0.054,0.056,0.044,0.058
24,0.052,0.07,0.069,0.076,0.071,0.072,0.097,0.093,0.062,0.071,0.052,0.062
48,0.069,0.063,0.064,0.09,0.068,0.092,0.076,0.077,0.065,0.072,0.063,0.071
72,0.35,0.303,0.32,0.311,0.29,0.256,0.336,0.272,0.156,0.247,0.234,0.262
96,1.801,1.342,1.807,2.054,0.65,0.735,0.909,0.886,0.52,0.616,0.586,0.652
120,2.739,2.647,2.837,2.912,1.532,1.596,1.978,1.663,1.084,1.309,1.201,1.292
