Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
0,0.059,0.051,0.067,0.062,0.065,0.063,0.054,0.06,0.067,0.047,0.056,0.071
24,0.091,0.079,0.084,0.081,0.057,0.063,0.033,0.041,0.038,0.063,0.06,0.064
48,1.748,1.475,1.112,1.282,0.09,0.047,0.028,0.053,0.368,0.393,0.548,0.617
72,2.899,2.783,2.774,2.773,1.285,0.58,0.539,0.74,2.071,1.323,1.555,1.799
