Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
0,0.069,0.065,0.049,0.065,0.057,0.049,0.049,0.05,0.041,0.043,0.051,0.049
24,0.063,0.056,0.045,0.041,0.044,0.052,0.045,0.049,0.043,0.078,0.033,0.042
48,0.089,0.077,0.078,0.093,0.047,0.055,0.034,0.039,0.072,0.1,0.064,0.072
72,0.184,0.138,0.175,0.176,0.122,0.168,0.118,0.12,0.251,0.243,0.221,0.233
96,1.033,0.826,1.047,0.968,0.468,0.569,0.441,0.396,0.374,0.447,0.442,0.836
120,2.372,2.347,2.331,2.332,1.639,2.018,1.858,1.536,0.575,0.706,0.482,0.585
