Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.059,3.0715,0.0957,30.1199,-14.9718,NA,NA,0.0957,0.0957
A2,0.051,3.1098,0.0856,31.3427,-15.307,NA,NA,0.0856,0.0856
A3,0.067,3.6036,0.0809,35.1132,-13.5002,NA,NA,0.0809,0.0809
A4,0.062,3.2767,0.0829,33.2891,-13.5073,NA,NA,0.0829,0.0829
A5,0.061,2.6327,0.0715,54.85,-5.868,NA,0.0846,0.0711,0.072
A6,0.0577,0.5223,0.1926,56.6371,-5.031,NA,NA,0.1926,0.1926
A7,0.0383,0.5008,0.145,60.2879,-4.6299,NA,NA,0.1448,0.1452
A8,0.0505,2.172,0.0591,60.3355,-5.003,0.0555,0.0639,0.056,0.0622
A9,0.0525,2.1509,0.1124,45.5499,-4.5802,NA,0.1259,0.0984,0.1264
A10,0.047,3.3433,0.0439,42.9281,-16.1364,NA,NA,0.0439,0.0439
A11,0.056,2.0967,0.047,37.6885,-12.2624,NA,NA,0.047,0.047
A12,0.0675,1.7324,0.2047,45.3166,-6.0016,0.1923,0.217,0.1031,0.3063
