Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.0537,-1.1608,0.0028,544.6354,-4.3826,0.0027,0.0029,0.0028,0.0029
A2,0.054,1.224,0.0029,547.1494,-4.3831,0.0028,0.003,0.0029,0.003
A3,0.0536,1.22,0.0029,557.034,-4.4245,0.0028,0.003,0.0029,0.003
A4,0.0545,1.1714,0.0027,542.3022,-4.691,0.0026,0.0027,0.0026,0.0027
A5,0.0619,0.5207,0.0026,612.1701,-2.3335,0.0017,0.0051,0.0019,0.0034
A6,0.0869,0.8734,2e-04,-6.0409,-2.2136,NA,NA,2e-04,2e-04
A7,0.0616,0.5456,0.0024,620.0432,-2.4984,0.0016,0.0038,0.0018,0.0029
A8,0.0572,1.0202,2e-04,-3.6529,-2.0128,NA,NA,2e-04,2e-04
B1,0.0593,-1.1497,0.0012,760.098,-4.5381,NA,NA,0.0012,0.0012
B2,0.0599,-1.1787,0.0012,747.1419,-4.5082,0.0012,0.0013,0.0012,0.0012
B3,0.0604,1.182,0.0013,739.5762,-4.5277,0.0012,0.0013,0.0013,0.0013
B4,0.0608,-1.1845,0.0013,740.6636,-4.493,NA,NA,0.0013,0.0013
B5,0.0606,1.457,0.0016,2340.507,-4.2159,0.0016,0.0016,0.0016,0.0016
B6,0.059,-1.3465,0.0016,2366.1274,-4.1076,0.0016,0.0016,0.0016,0.0016
B7,0.0609,1.4073,0.0016,2331.1988,-4.2914,0.0016,0.0016,0.0016,0.0016
B8,0.0622,-1.3843,0.0017,2198.6399,-4.0581,NA,NA,0.0017,0.0017
C1,0.0662,1.299,0.0017,925.567,-3.8545,0.0016,0.0017,0.0016,0.0017
C2,0.0631,-1.3336,0.0017,939.4218,-3.8312,0.0017,0.0018,0.0017,0.0018
C3,0.0649,-1.3468,0.0018,916.7397,-3.8408,0.0017,0.0018,0.0017,0.0018
C4,0.064,-1.3373,0.0018,913.301,-3.8598,0.0017,0.0019,0.0018,0.0019
C5,0.047,-0.4078,0.001,563.5681,-5.561,NA,NA,0.001,0.001
C6,0.0504,0.3654,0.0011,581.1255,-4.4827,0.0011,0.0012,0.0011,0.0012
C7,0.0492,-0.4066,0.0011,580.1779,-5.2925,0.0011,0.0011,0.0011,0.0011
C8,0.0486,-0.4334,0.0011,575.769,-4.4828,0.001,0.0012,0.0011,0.0012
D1,0.0537,-1.0676,0.0024,578.993,-4.6135,0.0023,0.0025,0.0024,0.0024
D2,0.0527,1.0901,0.0026,577.502,-4.4653,0.0025,0.0027,0.0025,0.0026
D3,0.0526,1.0926,0.0026,576.4197,-4.5412,0.0025,0.0027,0.0025,0.0026
D4,0.0519,1.1062,0.0025,567.4613,-4.7559,0.0025,0.0026,0.0025,0.0025
D5,0.0456,0.7165,0.0014,568.9331,-3.1573,0.0012,0.0017,0.0013,0.0016
D6,0.0595,0.5847,0.0023,646.5707,-3.6558,0.002,0.0026,0.0021,0.0024
D7,0.0588,0.6045,0.0022,640.608,-3.5829,0.0019,0.0025,0.002,0.0024
D8,0.0581,0.623,0.0022,635.9659,-2.8314,0.0017,0.0029,0.0019,0.0025
E1,0.0585,1.0866,0.0012,782.4884,-4.7088,NA,NA,0.0012,0.0012
E2,0.0586,-1.1013,0.0012,778.7794,-4.6982,NA,NA,0.0012,0.0012
E3,0.0589,1.0932,0.0012,769.17,-4.6248,NA,NA,0.0012,0.0012
E4,0.0579,-1.108,0.0012,759.342,-4.6911,NA,NA,0.0012,0.0012
E5,0.0702,1.2851,0.0015,2353.5856,-3.4491,0.0014,0.0016,0.0014,0.0015
E6,0.0693,1.3269,0.0015,2388.1964,-3.4729,0.0014,0.0016,0.0015,0.0015
E7,0.0676,-1.298,0.0015,2360.6553,-3.4627,0.0014,0.0016,0.0015,0.0015
E8,0.0653,-1.3137,0.0014,2282.2522,-3.5816,NA,NA,0.0014,0.0015
F1,0.0627,1.2375,0.0016,961.688,-4.0338,0.0016,0.0017,0.0016,0.0017
F2,0.0625,-1.2313,0.0016,957.2795,-4.0557,0.0016,0.0017,0.0016,0.0016
F3,0.0688,1.222,0.0016,953.4607,-4.0792,0.0016,0.0017,0.0016,0.0017
F4,0.0611,-1.2277,0.0016,948.9175,-4.0231,0.0016,0.0017,0.0016,0.0017
F5,0.048,0.4523,8e-04,626.0586,-5.5916,NA,NA,8e-04,8e-04
F6,0.0509,-0.4669,9e-04,624.7379,-5.91,NA,NA,9e-04,9e-04
F7,0.0532,0.4419,9e-04,602.2199,-5.3694,NA,NA,9e-04,9e-04
F8,0.0492,0.5223,9e-04,608.4076,-5.9107,NA,NA,9e-04,9e-04
