Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.047,1.0856,0.0011,1032.7576,-4.8884,NA,NA,0.0011,0.0011
A2,0.0471,1.1772,0.0012,1015.1141,-4.923,NA,NA,0.0012,0.0012
A3,0.0462,1.1912,0.0012,992.4555,-4.7538,NA,NA,0.0011,0.0012
A4,0.0439,1.1736,0.0011,971.2481,-4.3068,NA,NA,0.0011,0.0011
A5,0.0742,1.5983,0.003,461.1285,-3.8197,0.0029,0.0031,0.0029,0.0031
A6,0.0741,1.6213,0.0029,464.7203,-3.8679,0.0028,0.003,0.0029,0.003
A7,0.0777,1.5947,0.003,451.8724,-3.7962,0.0028,0.0031,0.0029,0.003
A8,0.0746,1.5965,0.0029,447.7903,-3.8844,0.0028,0.003,0.0028,0.003
B1,0.0745,1.2854,0.0025,598.9881,-3.8012,0.0024,0.0027,0.0025,0.0026
B2,0.0931,1.2339,0.0024,372.4829,-3.8275,0.0023,0.0025,0.0023,0.0025
B3,0.0751,1.2996,0.0026,595.8832,-3.7567,0.0024,0.0027,0.0025,0.0026
B4,0.0744,-1.2967,0.0026,587.5101,-3.766,0.0025,0.0027,0.0025,0.0027
B5,0.0715,1.7835,4e-04,1500.3849,-4.2143,NA,NA,4e-04,4e-04
B6,0.1072,1.8319,0.0021,1817.6632,-3.12,0.002,0.0023,0.002,0.0022
B7,0.0679,1.665,4e-04,1631.9529,-4.3807,NA,NA,4e-04,4e-04
B8,0.0607,1.842,4e-04,1625.0048,-4.3006,NA,NA,4e-04,4e-04
C1,0.0673,-1.0745,9e-04,1522.0987,-4.0166,NA,NA,9e-04,9e-04
C2,0.0644,-1.2438,8e-04,1503.8117,-4.2294,NA,NA,8e-04,9e-04
C3,0.0841,-1.2223,7e-04,896.1614,-4.5254,NA,NA,7e-04,7e-04
C4,0.0927,1.2006,7e-04,829.1936,-4.5505,NA,NA,7e-04,7e-04
C5,0.0209,0.9806,5e-04,595.5157,-3.7239,NA,NA,5e-04,5e-04
C6,0.0237,0.9416,6e-04,545.5959,-3.4911,NA,NA,6e-04,6e-04
C7,0.0081,0.9902,5e-04,519.2817,-3.4961,NA,NA,5e-04,5e-04
C8,0.0188,0.9617,6e-04,572.2052,-3.5001,NA,NA,6e-04,6e-04
D1,0.044,1.0461,0.001,1046.6016,-4.3227,NA,NA,9e-04,0.001
D2,0.0441,1.0591,0.001,1004.0835,-4.4619,0.001,0.001,0.001,0.001
D3,0.0455,1.0891,0.0011,994.2583,-4.3954,NA,NA,0.001,0.0011
D4,0.0453,1.1273,0.0011,991.9719,-4.4484,NA,NA,0.0011,0.0011
D5,0.0694,1.3262,0.002,468.5599,-4.4786,0.002,0.0021,0.002,0.0021
D6,0.07,1.352,0.0021,456.3962,-4.5172,0.002,0.0021,0.002,0.0021
D7,0.0776,1.3245,0.002,400.594,-4.5451,0.002,0.0021,0.002,0.0021
D8,0.0902,1.3072,0.0021,297.5988,-4.5598,0.002,0.0021,0.002,0.0021
E1,0.0931,1.0128,0.002,491.4651,-3.7354,0.0019,0.0021,0.002,0.0021
E2,0.0815,1.0851,0.0021,541.7968,-3.817,0.002,0.0023,0.0021,0.0022
E3,0.0751,1.0881,0.0021,621.7388,-3.8798,0.002,0.0022,0.0021,0.0022
E4,0.0744,1.086,0.0021,622.3289,-3.8897,0.002,0.0022,0.0021,0.0022
E5,0.0646,-1.6596,4e-04,1605.3187,-3.338,NA,NA,4e-04,4e-04
E6,0.0327,2.3245,4e-04,1520.3133,-4.1533,3e-04,4e-04,3e-04,4e-04
E7,0.0307,2.4004,4e-04,1507.3917,-4.1138,NA,NA,4e-04,4e-04
E8,0.0332,2.4094,3e-04,1498.948,-4.0028,NA,NA,3e-04,4e-04
F1,0.0829,-1.3651,7e-04,1213.0272,-4.3305,NA,NA,7e-04,7e-04
F2,0.0866,1.2619,7e-04,1045.3325,-4.3612,NA,NA,7e-04,7e-04
F3,0.0639,-1.1956,8e-04,1522.0357,-4.3286,NA,NA,8e-04,8e-04
F4,0.0641,1.2029,8e-04,1501.5661,-4.2903,NA,NA,8e-04,8e-04
F5,0.0395,0.9507,6e-04,730.1799,-3.8546,NA,NA,6e-04,7e-04
F6,0.0283,0.9663,7e-04,530.9145,-3.4578,7e-04,8e-04,7e-04,8e-04
F7,0.0332,0.9741,7e-04,634.0475,-3.7419,NA,NA,6e-04,7e-04
F8,0.0313,0.9448,7e-04,604.0103,-3.4919,7e-04,8e-04,7e-04,7e-04
