Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.0405,4.1643,0.0327,450.4632,-2.8926,0.0313,0.0344,0.0312,0.0343
A2,0.028,3.4619,0.0402,438.0408,-2.9543,0.0382,0.0424,0.0382,0.0423
A3,0.0291,4.1373,0.0362,459.4293,-2.7624,0.0343,0.0384,0.0342,0.0382
A4,0.0198,4.7848,0.1214,556.2336,-2.7832,0.0659,0.2454,0.1149,0.128
B1,0.0562,3.555,0.028,308.0894,-2.7847,0.0263,0.0299,0.0262,0.0297
B2,0.0615,3.2815,0.0268,295.6756,-2.8094,0.025,0.0288,0.025,0.0286
B3,0.0719,3.5014,0.0282,293.4553,-2.7271,0.0263,0.0303,0.0263,0.0302
B4,0.0609,4.0733,0.0278,294.2663,-2.8801,0.0264,0.0295,0.0264,0.0293
