Treatment,Rep,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
Rpf-,1,37.9119,3.2,0.0097,-118.6939,-0.2445,NA,NA,0.0065,0.0129
Rpf-,2,35.7827,3.2,0.0116,-110.5186,-0.1516,NA,NA,0.0081,0.0151
Rpf-,3,28.6208,3.2,0.0084,938.6441,-0.2249,NA,NA,0.0057,0.0111
Rpf-,4,26.5128,2.986,0.0051,-283.5196,-0.5268,NA,NA,0.0027,0.0075
Rpf+,1,53.1346,2.89,0.0134,377.2102,-0.5003,NA,NA,0.01,0.0167
Rpf+,2,53.818,2.874,0.0144,241.2157,-0.5919,NA,NA,0.0112,0.0175
Rpf+,3,60.8506,3.03,0.0152,491.5636,-0.5476,NA,NA,0.0121,0.0183
Rpf+,4,3.0813,3.046,0.031,399.6274,-2.9976,0.0295,0.0325,0.0295,0.0324
