sub,rpf,rpfneg
0.5,40161.66667,996.6666667
0.25,34929.66667,731.3333333
0.125,18947.33333,244.3333333
0.0625,10671.66667,394
0.03125,5375,327.3333333
0.015625,2776.666667,241.3333333
0.0078125,1388,196.3333333
0.00390625,710.6666667,200
0.001953125,363,206.3333333
0.000976563,214,221
1,38312.66667,
0.5,35350,
0.25,20263.33333,
0.125,10669.33333,
0.0625,5830.333333,
0.03125,3215.333333,
0.015625,1825.666667,
0.0078125,1073,
0.00390625,584,
0.001953125,364.3333333,
0.000976563,492.3333333,
