Isolate,Well,Treatment,Rpf_conc,Rep
711,B2,11,2,2
711,B3,3,0.1,1
711,B4,9,0.75,1
711,B5,7,0.4,1
711,B6,4,0.15,2
711,B7,2,0.05,1
711,C2,12,3,1
711,C3,6,0.3,1
711,C4,1,0,1
711,C5,6,0.3,2
711,C6,3,0.1,2
711,C7,7,0.4,2
711,D2,5,0.2,2
711,D3,12,3,2
711,D4,8,0.5,2
711,D5,2,0.05,2
711,D6,5,0.2,1
711,D7,10,1,1
711,E2,1,0,2
711,E3,8,0.5,1
711,E4,10,1,2
711,E5,11,2,1
711,E6,9,0.75,2
711,E7,4,0.15,1
702,B2,1,0,1
702,B3,2,0.05,1
702,B4,7,0.4,1
702,B5,10,1,2
702,B6,3,0.1,1
702,B7,12,3,2
702,C2,3,0.1,2
702,C3,10,1,1
702,C4,5,0.2,2
702,C5,12,3,1
702,C6,9,0.75,1
702,C7,5,0.2,1
702,D2,11,2,2
702,D3,6,0.3,1
702,D4,8,0.5,1
702,D5,6,0.3,2
702,D6,4,0.15,2
702,D7,8,0.5,2
702,E2,7,0.4,2
702,E3,1,0,1
702,E4,9,0.75,2
702,E5,4,0.15,1
702,E6,11,2,1
702,E7,2,0.05,2
706,B2,5,,1
706,B3,12,,1
706,B4,9,,2
706,B5,2,,1
706,B6,8,,2
706,B7,6,,1
706,C2,10,,2
706,C3,4,,1
706,C4,6,,2
706,C5,7,,1
706,C6,3,,1
706,C7,1,,1
706,D2,7,,2
706,D3,2,,2
706,D4,11,,1
706,D5,4,,2
706,D6,10,,1
706,D7,11,,2
706,E2,1,,1
706,E3,9,,1
706,E4,5,,2
706,E5,8,,1
706,E6,12,,2
706,E7,3,,2
