,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
701-1,0.043852481,1.048608761,0.056753851,17.35449467,-4.338653505,0.055612218,0.057929437,0.055605151,0.05790255
701-2,0.044401191,1.05980899,0.060226835,16.70590302,-4.46797759,0.059161677,0.061319716,0.059157315,0.061296355
701-3,0.045291816,1.090097922,0.063444265,16.5225142,-4.39515373,0.062253447,0.064668246,0.062247713,0.064640817
701-4,0.045195721,1.128356974,0.066079226,16.45972116,-4.451301313,0.06495693,0.067229793,0.064952786,0.067205665
701+1,0.047046595,1.086090691,0.066720674,17.18428688,-4.901864796,0.065963805,0.067490149,0.065964041,0.067477306
701+2,0.046765198,1.178680938,0.06965855,16.8460061,-4.942596934,0.068937636,0.070390247,0.068939043,0.070378057
701+3,0.045353941,1.193385157,0.069101451,16.46848633,-4.744336587,0.068238298,0.069980207,0.068238827,0.069964076
701+4,0.043600993,1.175321119,0.067819118,16.13333477,-4.326185726,0.06652864,0.069145663,0.066523024,0.069115212
702-1,0.06982748,1.317683301,0.122480496,7.805327295,-4.386909858,0.119579094,0.125487877,0.119586266,0.125374726
702-2,0.071334852,1.332879127,0.124883702,7.627641542,-4.349647738,0.121870443,0.128008434,0.121877225,0.12789018
702-3,0.079290053,1.305921266,0.123795527,6.7024089,-4.37634086,0.120812084,0.126889126,0.120821579,0.126769476
702-4,0.091138573,1.298925662,0.1241763,4.96110965,-4.483609771,0.121423539,0.127021185,0.121442523,0.126910078
702+1,0.077388231,1.543127281,0.183383048,7.740428945,-3.657237379,0.174582778,0.192873695,0.174467641,0.192298456
702+2,1.476158405,1.467931906,0.189936204,15.69403251,-4.083592888,0.184344359,0.195760356,0.184367926,0.195504482
702+3,0.080686392,1.539488615,0.18265627,7.58465174,-3.628345632,0.17368494,0.19234493,0.173561514,0.191751025
702+4,1.44702824,1.438350401,0.188395876,15.3079046,-4.139817661,0.182953432,0.194035909,0.182996497,0.193795256
703-1,1.060315873,1.026712969,0.120172317,16.58689561,-4.660883359,0.117374912,0.123065075,0.117380778,0.122963855
703-2,1.109976434,1.081764254,0.129322687,17.40408062,-4.306378789,0.125293153,0.133507564,0.125293953,0.133351421
703-3,1.106877342,1.076478737,0.12960168,18.79060535,-4.149826391,0.124977918,0.134474613,0.124938031,0.13426533
703-4,1.099069072,1.068066083,0.129831632,18.73824335,-4.168061473,0.125239918,0.13466733,0.125205159,0.134458105
703+1,0.074922171,1.279548108,0.152817173,9.979187329,-3.792794737,0.145702981,0.160446402,0.145595299,0.160039047
703+2,1.242770703,1.244570354,0.144295101,14.46534522,-4.179879651,0.139406381,0.149372445,0.139426734,0.149163468
703+3,0.076146282,1.284218746,0.156475403,9.952798984,-3.722211732,0.148718766,0.164830959,0.148584432,0.164366375
703+4,1.274874983,1.248584008,0.16275397,17.66681059,-4.092140925,0.157289181,0.168453821,0.157285509,0.168222431
705-1,0.997311018,0.943035911,0.049870382,40.23737952,-5.286743675,0.049435343,0.050309777,0.049437978,0.050302786
705-2,1.027647026,0.988601122,0.045345857,39.84817778,-5.061314783,0.044874475,0.045822658,0.044876833,0.045814881
705-3,0.898042079,0.850098436,0.056473162,41.69417835,-5.029365011,0.055759828,0.057199896,0.055760762,0.057185562
705-4,0.907430609,0.859793771,0.056636096,41.53649681,-4.978402092,0.055893501,0.057393111,0.055894243,0.057377949
705+1,0.933378179,0.883128441,0.06301329,40.65032556,-5.295030137,0.062411018,0.06362377,0.062413187,0.063613392
705+2,0.909133767,0.859462552,0.059389237,40.8445931,-5.431381294,0.058879799,0.059905174,0.058882082,0.059896393
705+3,1.048894607,1.027214965,0.046581153,37.06997068,-4.738707892,0.04591198,0.047262107,0.04591371,0.047248595
705+4,1.081612876,1.069736842,0.046078297,36.45201003,-4.427135787,0.045203613,0.046975802,0.045201719,0.046954875
706-1,1.16601451,1.143165067,0.025285063,74.72595624,-3.716265404,0.024622311,0.025969856,0.024615306,0.02595482
706-2,1.18863075,1.215913513,0.021933335,79.01275325,-4.314962521,0.021622998,0.02224998,0.02165146,0.02221521
