Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.0734,4.1677,0.0577,79.646,-4.8683,0.0567,0.0588,0.0569,0.0586
A2,0.0657,5.9985,0.0698,87.3215,-5.1259,0.0668,0.0748,0.0666,0.073
A3,0.057,3.8869,0.0558,78.4031,-4.5828,0.0544,0.0574,0.0546,0.057
A4,0.0657,4.6863,0.0588,81.3295,-4.2165,0.0565,0.0618,0.0565,0.0611
A5,0.0478,84.5946,0.3744,151.5565,-5.2489,NA,NA,0.3672,0.3816
A6,0.0513,315.8511,1.1186,184.9474,-4.7786,NA,NA,1.0915,1.1456
A7,0.0455,-221.6322,0.9271,170.1327,-4.6211,NA,NA,0.8972,0.9569
A8,0.0481,-223.2848,0.8626,178.2537,-4.687,NA,NA,0.8312,0.8941
A10,0.0512,1.746,0.011,60.5887,-4.7087,0.0098,0.0129,0.0107,0.0114
A11,0.0492,0.4392,0.0142,59.9108,-4.7169,0.0105,0.0197,0.01,0.0184
A12,0.0451,-33.2026,0.1655,119.4938,-5.8845,0.1563,0.1765,0.1613,0.1697
