row,column,od,pixels
A,1,0.043,60.17
B,1,0.043,62.156
C,1,0.042,72.594
D,1,0.042,62.471
E,1,0.042,61.849
F,1,0.041,50.884
A,2,0.064,66.07
B,2,0.069,67.665
C,2,0.065,69.661
D,2,0.06,79.965
E,2,0.061,76.025
F,2,0.068,61.793
A,3,0.067,66.522
B,3,0.086,70.038
C,3,0.091,80.156
D,3,0.087,80.043
E,3,0.09,71.884
F,3,0.09,60.314
A,4,0.137,72.256
B,4,0.116,75.574
C,4,0.119,84.806
D,4,0.129,79.23
E,4,0.115,74.919
F,4,0.114,68.006
A,5,0.222,105.751
B,5,0.222,100.796
C,5,0.223,101.961
D,5,0.232,104.601
E,5,0.227,98.655
F,5,0.23,90.608
A,6,0.415,142.543
B,6,0.415,139.909
C,6,0.419,137.784
D,6,0.417,136.869
E,6,0.421,133.835
F,6,0.414,131
A,7,0.735,158.507
B,7,0.738,163.173
C,7,0.755,165.739
D,7,0.747,161
E,7,0.742,155.385
F,8,0.742,150.485
A,8,1.234,182.961
B,8,1.246,184.904
C,8,1.259,185.501
D,8,1.255,181.663
E,8,1.244,181.86
F,8,1.241,175.37
