well.number	row	col	rpf.conc	cell	hist
1	A	1	0.18	yes	136.365
2	A	2	0.37	yes	138.342
3	A	3	0.73	yes	148.383
4	A	4	1.47	yes	179.39
5	A	5	3	yes	192.649
6	A	6	5.9	yes	206.768
7	A	7	0	yes	127.151
8	A	8	0	no	121.413
9	B	1	0.18	yes	145.37
10	B	2	0.37	yes	146.844
11	B	3	0.73	yes	153.264
12	B	4	1.47	yes	172.8
13	B	5	3	yes	191.86
14	B	6	5.9	yes	219.946
15	B	7	0	yes	121.929
16	B	8	0	no	119.411
17	C	1	0.18	yes	144.912
18	C	2	0.37	yes	151.849
19	C	3	0.73	yes	149.094
20	C	4	1.47	yes	169.031
21	C	5	3	yes	196.324
22	C	6	5.9	yes	215.067
23	C	7	0	yes	133.943
24	C	8	0	no	121.246
25	D	1	0.18	yes	141.73
26	D	2	0.37	yes	154.528
27	D	3	0.73	yes	154.522
28	D	4	1.47	yes	174.737
29	D	5	3	yes	211.064
30	D	6	5.9	yes	229.162
31	D	7	0	yes	123.791
32	D	8	0	no	15.518
33	E	1	0.18	yes	148.52
34	E	2	0.37	yes	159.574
35	E	3	0.73	yes	161.489
36	E	4	1.47	yes	181.328
37	E	5	3	yes	193.306
38	E	6	5.9	yes	219.701
39	E	7	0	yes	123.795
40	E	8	0	no	121.908
41	F	1	0.18	yes	141.2233
42	F	2	0.37	yes	161.782
43	F	3	0.73	yes	171.168
44	F	4	1.47	yes	177.93
45	F	5	3	yes	187.031
46	F	6	5.9	yes	200.98
47	F	7	0	yes	126.06
48	F	8	0	no	121.74
