Number	Curve	b0	A	umax	L	z	K	lag	umax.lw	umax.up	umax.lw.FI	umax.up.FI
1	A1	0.047	1.0866	0.0667	17.6997	-4.8785	1.1336	15.2832	0.0659	0.0675	0.0659	0.0674
2	A2	0.0468	1.1782	0.0697	17.3711	-4.8299	1.225	15.0456	0.0689	0.0705	0.0689	0.0705
3	A3	0.0457	1.1895	0.0694	17.0213	-4.7194	1.2352	14.733	0.0686	0.0703	0.0686	0.0703
4	A4	0.0438	1.173	0.068	16.6748	-4.3313	1.2168	14.4243	0.0668	0.0693	0.0668	0.0693
5	A5	0.0847	1.4442	0.1966	8.4755	-3.3211	1.5289	6.8041	0.1841	0.2103	0.1838	0.2094
6	A6	0.0858	1.4441	0.1946	8.5711	-3.2996	1.5299	6.8726	0.1822	0.2084	0.1818	0.2074
7	A7	0.0872	1.4522	0.194	8.2931	-3.3314	1.5394	6.5705	0.1817	0.2074	0.1814	0.2065
8	A8	0.0858	1.4244	0.1914	8.2651	-3.3312	1.5102	6.5467	0.1791	0.2049	0.1788	0.204
9	B1	0.0738	1.3004	0.1506	10.4529	-3.8473	1.3742	8.6208	0.1439	0.1577	0.1438	0.1573
10	B2	0.0987	1.1881	0.152	6.8805	-3.6808	1.2867	4.6157	0.1442	0.1604	0.144	0.1599
11	B3	0.0751	1.3032	0.1544	10.4313	-3.7661	1.3783	8.6087	0.1471	0.1623	0.1469	0.1618
12	B4	0.075	1.2897	0.1576	10.322	-3.7506	1.3648	8.5278	0.15	0.1658	0.1498	0.1654
13	B5	0.1093	1.071	0.0253	27.8054	-3.2408	1.1802	15.5533	0.0241	0.0265	0.0241	0.0265
14	B6	0.1157	1.4193	0.1514	31.4715	-2.9341	1.535	28.8936	0.1372	0.1674	0.1364	0.1663
15	B7	0.0958	1.0785	0.024	29.3811	-3.3551	1.1743	18.0237	0.023	0.025	0.023	0.025
16	B8	0.0935	1.0584	0.0225	28.5237	-3.3015	1.1519	16.7486	0.0216	0.0236	0.0215	0.0235
17	C1	0.0748	0.871	0.0644	26.7798	-3.4921	0.9458	23.1246	0.0604	0.0688	0.0603	0.0686
18	C2	0.0755	0.8317	0.0617	26.6228	-3.4487	0.9071	22.7974	0.0576	0.0662	0.0574	0.066
19	C3	0.097	1.0167	0.0467	16.2739	-3.6085	1.1137	10.131	0.0446	0.049	0.0445	0.0489
20	C4	0.1025	1.0566	0.0466	14.996	-3.7447	1.1591	8.5174	0.0448	0.0485	0.0448	0.0484
21	C5	0.0215	0.9833	0.0317	10.2989	-3.6814	1.0049	7.9528	0.0305	0.0329	0.0304	0.0329
22	C6	0.0176	0.9605	0.0336	9.0058	-3.4444	0.9781	7.0836	0.0319	0.0354	0.0318	0.0353
23	C7	0.0162	0.9771	0.031	9.4741	-3.503	0.9933	7.5515	0.0295	0.0325	0.0295	0.0325
24	C8	0.0232	0.9614	0.0348	10.0396	-3.5263	0.9846	7.7289	0.0332	0.0365	0.0332	0.0365
25	D1	0.0437	1.0499	0.0566	17.8603	-4.3394	1.0937	15.2613	0.0555	0.0578	0.0555	0.0578
26	D2	0.0443	1.0611	0.0601	17.2132	-4.4899	1.1054	14.7104	0.0591	0.0612	0.0591	0.0611
27	D3	0.0452	1.0916	0.0633	17.0278	-4.4224	1.1368	14.5887	0.0622	0.0644	0.0622	0.0644
28	D4	0.0451	1.1289	0.066	16.9746	-4.4749	1.174	14.616	0.065	0.0671	0.065	0.0671
29	D5	0.0728	1.2831	0.1257	8.4341	-4.0686	1.3559	6.3602	0.1218	0.1298	0.1218	0.1297
30	D6	0.0745	1.2977	0.1283	8.2594	-4.0286	1.3722	6.1812	0.1242	0.1326	0.1242	0.1324
31	D7	0.0846	1.2559	0.129	7.3971	-3.9184	1.3405	5.1137	0.1243	0.1338	0.1243	0.1336
32	D8	0.1023	1.2257	0.1322	5.7743	-3.7927	1.328	3.17	0.1269	0.1378	0.1268	0.1375
33	E1	0.0974	0.9773	0.1283	8.8941	-3.6201	1.0747	6.3306	0.1204	0.1369	0.1202	0.1364
34	E2	0.0858	1.044	0.1362	9.747	-3.6639	1.1297	7.5357	0.1288	0.1444	0.1285	0.144
35	E3	0.0781	1.0552	0.1337	11.0347	-3.7619	1.1333	8.9472	0.127	0.141	0.1269	0.1406
36	E4	0.0778	1.0482	0.1342	11.0597	-3.748	1.126	8.9837	0.1273	0.1416	0.1271	0.1412
37	E5	0.0922	1.1827	0.0228	28.7194	-2.9865	1.2749	17.2485	0.0217	0.0241	0.0216	0.0241
38	E6	0.0859	1.0652	0.0209	25.9011	-3.1436	1.1511	14.2362	0.0199	0.022	0.0199	0.0219
39	E7	0.0873	1.0675	0.0208	25.5508	-3.1303	1.1549	13.6593	0.0199	0.0219	0.0198	0.0219
40	E8	0.0925	1.0386	0.0206	25.4496	-3.1069	1.1312	12.728	0.0195	0.0217	0.0195	0.0217
41	F1	0.0941	0.9848	0.0467	21.1746	-3.5241	1.0789	15.1927	0.044	0.0496	0.0439	0.0494
42	F2	0.0988	0.9894	0.0445	18.7121	-3.5231	1.0882	12.1787	0.0422	0.0469	0.0422	0.0468
43	F3	0.074	0.8229	0.0586	26.8789	-3.4653	0.8969	22.9483	0.0547	0.0628	0.0546	0.0626
44	F4	0.0743	0.8353	0.0585	26.5801	-3.4771	0.9096	22.6236	0.0547	0.0626	0.0546	0.0624
45	F5	0.0375	0.9626	0.0381	12.4063	-3.8367	1	9.2289	0.0368	0.0393	0.0368	0.0393
46	F6	0.0226	0.9879	0.0419	8.8751	-3.4609	1.0105	6.9095	0.0399	0.044	0.0399	0.0439
47	F7	0.0308	0.9896	0.0386	10.7879	-3.7489	1.0204	8.1169	0.0373	0.04	0.0373	0.0399
48	F8	0.0291	0.9589	0.0416	10.2967	-3.4912	0.9881	7.8914	0.0396	0.0437	0.0396	0.0436
