Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,0.0504,-1.4458,0.0049,1061.247,-3.9257,0.0046,0.0051,0.0047,0.005
B3,0.0508,1.4431,0.0052,982.0211,-3.8696,0.0049,0.0055,0.0051,0.0054
B4,0.0499,1.4617,0.0052,995.885,-3.8558,0.0049,0.0055,0.005,0.0053
B5,0.0516,-1.4595,0.0052,982.5295,-3.8217,0.0049,0.0055,0.005,0.0053
B6,0.0511,1.4367,0.0052,989.2322,-3.8132,0.0049,0.0055,0.0051,0.0054
B7,0.0503,1.4473,0.0054,1000.7051,-3.8126,0.0051,0.0057,0.0052,0.0055
C2,0.0513,1.4207,0.0048,990.1737,-3.8678,0.0045,0.0051,0.0046,0.0049
C3,0.0519,1.427,0.0052,978.2541,-3.8395,0.0049,0.0056,0.0051,0.0054
C4,0.0517,1.4033,0.0054,992.4134,-3.8973,0.0051,0.0057,0.0053,0.0056
C5,0.0505,-1.4299,0.0053,986.327,-3.8382,0.005,0.0056,0.0051,0.0054
C6,0.0511,1.444,0.0054,989.4896,-3.8247,0.0051,0.0057,0.0052,0.0055
C7,0.0505,1.4886,0.0051,979.1779,-3.822,0.0048,0.0054,0.0049,0.0052
D2,0.0516,1.4788,0.0053,953.3987,-3.7761,0.0049,0.0056,0.0051,0.0054
D3,0.0627,-1.5373,0.0046,893.588,-3.498,0.0042,0.005,0.0044,0.0047
D4,0.0538,1.4561,0.0053,983.7186,-3.8159,0.005,0.0056,0.0052,0.0054
D5,0.0511,1.4348,0.0054,982.0013,-3.828,0.0051,0.0057,0.0053,0.0056
D6,0.0508,1.4502,0.0052,986.7443,-3.8385,0.0049,0.0056,0.0051,0.0054
D7,0.0508,1.4774,0.0051,986.0359,-3.8553,0.0048,0.0054,0.0049,0.0052
E2,0.0687,1.4362,0.0058,863.951,-3.2698,0.0053,0.0064,0.0055,0.0061
E3,0.0519,-1.4397,0.0053,955.9075,-3.7337,0.005,0.0057,0.0052,0.0055
E4,0.0512,1.4576,0.0051,986.5123,-3.8548,0.0048,0.0054,0.0049,0.0052
E5,0.0501,-1.4664,0.0049,997.0965,-3.8982,0.0047,0.0052,0.0048,0.005
E6,0.0509,1.479,0.0051,992.5279,-3.8647,0.0048,0.0054,0.005,0.0052
E7,0.0544,-1.4361,0.0052,998.7595,-3.8813,0.0049,0.0055,0.005,0.0053
