Hour	Treatment	Rep	OD600
120	Rpf-	1	0.536
120	Rpf-	2	0.673
120	Rpf-	3	1.242
120	Rpf-	4	0.429
120	Rpf+	1	2.858
120	Rpf+	2	2.883
120	Rpf+	3	2.79
120	Rpf+	4	2.881
120	"Rpf+, Anti28+"	1	0.247
120	"Rpf+, Anti28+"	2	0.355
120	"Rpf+, Anti28+"	3	0.583
120	"Rpf+, Anti28+"	4	0.244
120	"Rpf+, Anti0+"	1	2.79
120	"Rpf+, Anti0+"	2	3.073
120	"Rpf+, Anti0+"	3	2.858
120	"Rpf+, Anti0+"	4	2.881
