Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.0754,-7.6555,0.0198,395.5885,-2.1259,0.0154,0.039,0.0185,0.0211
A2,0.0268,3.793,0.0146,327.7257,-2.0479,0.0127,0.0177,0.0134,0.0158
A3,0.0428,3.4492,0.0143,269.3798,-2.4305,0.0128,0.016,0.0134,0.0151
A4,0.0327,3.9416,0.0151,278.13,-2.674,0.0141,0.0164,0.0145,0.0157
A5,0.0656,3.7695,0.0144,267.528,-2.4769,0.0132,0.016,0.0137,0.0152
A6,0.0431,3.9461,0.0155,271.7752,-2.401,0.0141,0.0173,0.0147,0.0164
A7,0.0433,3.6423,0.0167,262.8572,-2.0336,0.0144,0.0197,0.0153,0.018
A8,0.0625,3.5402,0.0137,265.2695,-2.5646,0.0125,0.0151,0.013,0.0144
A9,0.0107,3.4094,0.0097,157.6939,-3.3133,0.0094,0.0101,0.0095,0.01
A10,0.0606,3.2966,0.0131,214.051,-2.1222,0.0114,0.0152,0.012,0.0141
A11,0.0474,2.9939,0.0106,214.8263,-2.5332,0.0096,0.0119,0.01,0.0112
A12,0.0723,3.1734,0.0106,210.7526,-2.6101,0.0097,0.0117,0.01,0.0111
