Curve,Treatment,Rep,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,Rpf-,1,0.6842,-152.6481,-2.7276,-57.0467,0.0577,NA,NA,-2.7276,-2.7276
A2,Rpf-,2,0.8314,-134.0223,-5.6548,-25.9711,0.1899,NA,NA,-5.6548,-5.6548
A3,Rpf-,3,0.6348,-143.5076,-6.5301,-48.0351,0.0496,NA,NA,-6.5301,-6.5301
A4,Rpf-,4,0.327,-128.242,-1.5614,-74.4534,-0.3592,NA,NA,-1.5614,-1.5614
A5,Rpf+,1,0.0703,2.878,0.0298,310.221,-2.8406,0.0283,0.0315,0.0282,0.0314
A6,Rpf+,2,0.0714,2.8506,0.0291,298.5519,-2.8884,0.0276,0.0307,0.0275,0.0306
A7,Rpf+,3,0.0832,2.9982,0.0311,296.8695,-2.732,0.0293,0.033,0.0293,0.0329
A8,Rpf+,4,0.0688,3.2256,0.029,295.0573,-2.8127,0.0272,0.031,0.0272,0.0308
