Curve,Rep,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
Control,1,31.498,-440.359,0.009,750.1156,-0.2437,NA,NA,0.0062,0.0117
Control,2,35.2538,-434.6934,0.0099,1474.1425,-0.1517,NA,NA,0.0073,0.0125
Control,3,28.4408,-454.9595,0.0093,-141.7806,-0.2244,NA,NA,0.006,0.0127
Control,4,23.8582,-385.0271,0.0051,-413.2843,-0.5266,NA,NA,0.0027,0.0076
Rpf,1,68.3921,-999.2137,0.0133,492.8277,-0.5016,NA,NA,0.01,0.0166
Rpf,2,2.819,-2.7909,0.0289,398.3011,-3.0742,0.0275,0.0303,0.0275,0.0302
Rpf,3,3.0245,-2.9911,0.03,398.3013,-3.0438,0.0286,0.0315,0.0286,0.0314
Rpf,4,16.9491,-30.4373,0.008,2259.1696,-0.568,NA,NA,0.0079,0.0081
