Number	Curve	b0	A	umax	L	z	K	lag	umax.lw	umax.up	umax.lw.FI	umax.up.FI
1	A1	0.0544	1.1563	0.1709	9.6137	-4.1828	1.2107	8.2479	0.1642	0.178	0.1642	0.1776
2	A2	0.054	1.2349	0.1763	9.6278	-4.3006	1.2889	8.2953	0.1706	0.1823	0.1706	0.1821
3	A3	0.0531	1.2484	0.1734	9.7716	-4.4051	1.3014	8.4399	0.1684	0.1787	0.1684	0.1785
4	A4	0.0534	1.2156	0.158	9.5004	-4.8327	1.2689	8.0825	0.1549	0.1612	0.1549	0.161
5	A5	0.0532	0.957	0.1198	10.3294	-3.8984	1.0102	8.6214	0.1114	0.1301	0.1108	0.1288
6	A6	0.0536	0.9297	0.1141	10.7351	-3.895	0.9833	8.9576	0.1058	0.1246	0.1051	0.1231
7	A7	0.0548	0.8564	0.1142	10.494	-3.952	0.9112	8.6888	0.1055	0.1247	0.1049	0.1235
8	A8	0.0526	0.7662	0.0913	10.3928	-4.0388	0.8188	8.3279	0.0845	0.1001	0.0838	0.0988
9	B1	0.0606	1.1106	0.0734	13.2277	-4.2736	1.1712	10.486	0.0713	0.0757	0.0713	0.0756
10	B2	0.0613	1.1357	0.0747	13.0232	-4.1859	1.197	10.2935	0.0724	0.0772	0.0724	0.0771
11	B3	0.0636	1.116	0.0783	12.9698	-4.0695	1.1796	10.2607	0.0755	0.0812	0.0754	0.0811
12	B4	0.0629	1.1189	0.0792	12.9697	-4.0438	1.1818	10.3087	0.0763	0.0822	0.0762	0.0821
13	B5	0.0618	1.4171	0.1001	39.6763	-4.0183	1.4788	37.4985	0.0978	0.1025	0.0977	0.1024
14	B6	0.059	1.3487	0.0953	39.9159	-4.1144	1.4077	37.7339	0.0932	0.0975	0.0932	0.0974
15	B7	0.0616	1.382	0.0978	39.4792	-4.1392	1.4437	37.2658	0.0957	0.0999	0.0957	0.0998
16	B8	0.0643	1.3131	0.11	37.4653	-3.7775	1.3774	35.3759	0.1065	0.1137	0.1064	0.1136
17	C1	0.0672	1.2712	0.1005	15.978	-3.7854	1.3384	13.6603	0.0961	0.1052	0.096	0.105
18	C2	0.0656	1.254	0.1087	16.3087	-3.6474	1.3196	14.1673	0.1031	0.1148	0.103	0.1144
19	C3	0.0679	1.2714	0.1098	15.9397	-3.6461	1.3393	13.759	0.1043	0.1158	0.1042	0.1155
20	C4	0.0666	1.2708	0.113	15.8642	-3.6637	1.3373	13.7627	0.1074	0.1189	0.1073	0.1186
21	C5	0.0465	0.422	0.057	9.8461	-5.7279	0.4685	7.1272	0.0557	0.0584	0.0557	0.0583
22	C6	0.0477	0.4168	0.0582	9.8062	-5.5806	0.4645	7.0795	0.0566	0.0598	0.0566	0.0598
23	C7	0.0481	0.4324	0.0614	10.0373	-5.8216	0.4806	7.4073	0.0602	0.0628	0.0602	0.0627
24	C8	0.0482	0.4541	0.065	10.0445	-5.5355	0.5023	7.529	0.0633	0.0668	0.0633	0.0667
25	D1	0.053	1.1186	0.1414	10.1302	-4.7878	1.1716	8.6114	0.1381	0.1448	0.1381	0.1447
26	D2	0.0518	1.1348	0.1529	10.0959	-4.4696	1.1866	8.6744	0.1482	0.1578	0.1482	0.1576
27	D3	0.052	1.1268	0.1533	10.089	-4.4748	1.1788	8.6671	0.1487	0.1581	0.1487	0.1579
28	D4	0.0513	1.1417	0.149	9.9405	-4.6362	1.1929	8.5055	0.1453	0.1529	0.1453	0.1527
29	D5	0.0533	0.7955	0.1112	10.8815	-4.1259	0.8488	9.0795	0.1037	0.1198	0.1034	0.1191
30	D6	0.0538	0.8112	0.1116	10.9141	-4.1052	0.865	9.1044	0.104	0.1203	0.1037	0.1195
31	D7	0.0542	0.7932	0.1129	10.9015	-3.9762	0.8475	9.0957	0.104	0.1232	0.1035	0.1222
32	D8	0.0536	0.8249	0.1129	10.8472	-4.1846	0.8784	9.0569	0.1059	0.1208	0.1056	0.1201
33	E1	0.063	0.9889	0.0763	13.8441	-3.9583	1.0519	11.1009	0.0732	0.0797	0.0731	0.0796
34	E2	0.0635	0.999	0.077	13.7798	-3.9071	1.0625	11.038	0.0737	0.0805	0.0736	0.0804
35	E3	0.0637	0.9921	0.0771	13.6329	-3.8839	1.0558	10.887	0.0737	0.0807	0.0737	0.0806
36	E4	0.0637	0.9892	0.0775	13.5121	-3.8336	1.0529	10.7783	0.074	0.0814	0.0739	0.0812
37	E5	0.0702	1.2867	0.0887	39.7152	-3.4524	1.3569	37.0642	0.0839	0.0939	0.0837	0.0936
38	E6	0.0687	1.3399	0.0887	40.2177	-3.4776	1.4086	37.611	0.0841	0.0936	0.084	0.0934
39	E7	0.0677	1.294	0.0904	39.8454	-3.4605	1.3616	37.3112	0.0857	0.0956	0.0855	0.0954
40	E8	0.067	1.2553	0.0902	38.7682	-3.4981	1.3223	36.2474	0.0857	0.095	0.0856	0.0948
41	F1	0.0641	1.2036	0.099	16.6029	-3.9389	1.2677	14.3441	0.0951	0.1031	0.095	0.1029
42	F2	0.0639	1.1993	0.0984	16.5353	-3.9672	1.2633	14.2698	0.0947	0.1024	0.0946	0.1022
43	F3	0.0687	1.2141	0.0983	16.3905	-4.0624	1.2828	13.9887	0.0948	0.1019	0.0948	0.1017
44	F4	0.0622	1.1976	0.1009	16.3909	-3.9299	1.2598	14.2136	0.0969	0.1051	0.0968	0.1049
45	C5	0.0465	0.422	0.057	9.8461	-5.7279	0.4685	7.1272	0.0557	0.0584	0.0557	0.0583
46	C6	0.0477	0.4168	0.0582	9.8062	-5.5806	0.4645	7.0795	0.0566	0.0598	0.0566	0.0598
47	C7	0.0481	0.4324	0.0614	10.0373	-5.8216	0.4806	7.4073	0.0602	0.0628	0.0602	0.0627
48	C8	0.0482	0.4541	0.065	10.0445	-5.5355	0.5023	7.529	0.0633	0.0668	0.0633	0.0667
