Time,A1,A2,A3,A4
6,0.03,0.015,0.011,0.01
1440,0.003,0.004,0.003,0.003
2880,0.003,0.004,0.002,0.003
4320,0.006,0.004,0.003,0.005
5760,0.008,0.002,0.005,0.003
7200,0.028,0.027,0.016,0.024
8640,0.036,0.02,0.027,0.03
10080,0.049,0.029,0.036,0.025
11520,0.04,0.029,0.027,0.03
12960,0.038,0.021,0.023,0.021
14400,0.033,0.035,0.011,0.029
17280,0.023,0.019,0.015,0.012
18240,0.021,0.022,0.007,0.002
18720,0.042,0.032,0.018,0.023
19200,0.027,0.017,0.015,0.014
19680,0.03,0.007,0.017,0.017
20160,0.038,0.014,0.013,0.021
20700,0.004,0.022,0,0.003
21120,0.015,0.025,0.016,0.011
21600,0.045,0.015,0.032,0.032
22080,0.042,0.031,0.039,0.026
22560,0.063,0.028,0.036,0.022
23040,0.065,0.04,0.023,0.021
23640,0.046,0.041,0.028,0.02
24000,0.067,0.031,0.017,0.023
24480,0.064,0.037,0.051,0.036
24960,0.064,0.04,0.034,0.019
25440,0.106,0.08,0.058,0.03
25920,0.116,0.067,0.055,0.023
26400,0.132,0.099,0.077,0.022
26880,0.167,0.178,0.122,0.039
27360,0.231,0.254,0.143,0.048
27900,0.373,0.516,0.205,0.068
28320,0.491,0.856,0.336,0.073
28800,0.761,1.539,0.476,0.081
29280,1.066,2.315,0.752,0.129
29760,1.467,2.9,1.126,0.166
30240,1.763,3.096,1.518,0.204
30720,2.098,3.2,1.915,0.292
31200,2.403,3.2,2.283,0.438
31680,2.705,3.2,2.561,0.724
32220,2.822,3.2,2.945,1.202
32640,3.029,3.2,3.01,1.746
33120,3.2,3.2,3.2,2.221
33600,3.2,3.2,3.2,2.614
34080,3.2,3.2,3.2,2.986
34560,3.2,3.2,3.2,3.2
35040,3.2,3.2,3.2,3.2
35520,3.2,3.2,3.2,3.2
36000,3.2,3.2,3.2,3.2
