Well	Treatment 	Dilution	Replicate	Colony
B2	1	1.00E-06	1	43
B3	5	0.00E+00	3	90
B4	4	1.00E-06	4	13
B5	5	0.00E+00	1	280
B6	3	1.00E-06	2	20
B7	0	1.00E-06	3	264
C2	0	1.00E-06	4	55
C3	2	1.00E-06	1	21
C4	3	1.00E-06	3	24
C5	2	1.00E-06	3	22
C6	1	1.00E-06	2	30
C7	4	1.00E-06	2	51
D2	3	1.00E-06	1	29
D3	5	0.00E+00	2	37
D4	0	1.00E-06	1	27
D5	4	1.00E-06	1	23
D6	2	1.00E-06	4	22
D7	1	1.00E-06	3	20
E2	2	1.00E-06	2	32
E3	5	0.00E+00	4	180
E4	1	1.00E-06	4	53
E5	3	1.00E-06	4	33
E6	0	1.00E-06	2	23
E7	4	1.00E-06	3	24
