	b0	A	umax	L	z
"Bacteroidetes, Pedobacter 1"	0.072837703	0.035744437	0.17561492	-0.009807706	0.129812461
"Bacteroidetes, Pedobacter 2"	0.053241973	0.112163559	0.156603199	0.008386442	0.106226886
"Bacteroidetes, Pedobacter 3"	0.001371661	0.094750419	0.089167807	-0.003269955	0.079447245
"Bacteroidetes, Pedobacter 4"	-0.035284933	0.041621708	0.026330393	-0.0198294	-0.028107643
"Actinobacteria, Arthrobacter 1-1"	0.108277586	0.171091172	0.497242859	-0.008314623	-0.16632949
"Actinobacteria, Arthrobacter 1-2"	19.69336886	0.101324101	0.520904657	1.057520981	-0.061166988
"Actinobacteria, Arthrobacter 1-3"	0.017610519	0.17885255	0.475467446	0.13163071	-0.170917955
"Actinobacteria, Arthrobacter 1-4"	14.8772317	0.107338505	0.517164515	2.085580783	-0.076677527
"Actinobacteria, Arthrobacter 2-1"	-0.929339763	0.246256886	0.271650384	-0.398369197	-0.186249806
"Actinobacteria, Arthrobacter 2-2"	0.119637017	0.150500536	0.115775618	-0.16885324	-0.029374828
"Actinobacteria, Arthrobacter 2-3"	-0.931206215	0.192981061	0.207356286	-0.470331115	-0.103043988
"Actinobacteria, Arthrobacter 2-4"	0.159958928	0.169013817	0.253577171	-0.057178933	-0.018214834
"Proteobacteria, Azospirillium 1"	-0.064105217	-0.063526181	0.263541354	0.010262747	0.001567404
"Proteobacteria, Azospirillium 2"	-0.115324869	-0.130627578	0.309694886	0.025005292	0.073116676
"Proteobacteria, Azospirillium 3"	0.167979354	0.208348259	-0.175163009	-0.110907754	-0.057792011
"Proteobacteria, Azospirillium 4"	0.19195106	0.244178404	-0.186414667	-0.122410101	-0.110731575
"Actinobacteria, Mycobacterium 1"	-0.005119366	0.00494433	-0.00120237	-0.052814326	0.376364034
"Actinobacteria, Mycobacterium 2"	0.249826758	0.146487073	5.756575368	-0.486141544	-0.147504134
"Actinobacteria, Mycobacterium 3"	-0.055028772	-0.084775574	0.122529808	-0.072491931	0.29675769
"Actinobacteria, Mycobacterium 4"	-0.059015542	-0.080016596	0.075987074	-0.05492142	0.235169804
"Proteobacteria, Pseudomonas 1"	-0.003702548	0.102043003	0.171894564	-0.059815502	-0.02836894
"Proteobacteria, Pseudomonas 2"	0.013685849	0.136664043	0.118777676	-0.055248093	0.008270725
"Proteobacteria, Pseudomonas 3"	0.027036839	0.107545033	0.136098943	-0.031788174	-0.043402624
"Proteobacteria, Pseudomonas 4"	0.049749643	0.060170307	0.067787388	-0.04448489	-0.011494998
"Proteobacteria, Janthinobacterium 1"	11.96523637	-0.24805541	0.529041356	0.506897007	-0.276323273
"Proteobacteria, Janthinobacterium 2"	-85.80479419	NA	-0.677404589	-13.76131195	-0.368141877
"Proteobacteria, Janthinobacterium 3"	9.360845934	-0.066909997	-0.076709243	0.393364727	-0.310155395
"Proteobacteria, Janthinobacterium 4"	0.986391171	NA	-0.773511605	-1.214649047	-0.281414547
"Proteobacteria, Variovorax 1"	0.016026917	0.050334171	0.011442505	-0.02918491	-0.041576579
"Proteobacteria, Variovorax 2"	0.021479788	0.061196978	0.021073201	-0.039916821	-0.040465191
"Proteobacteria, Variovorax 3"	16.50990277	-0.061509965	0.164670421	0.943716652	-0.042115429
"Proteobacteria, Variovorax 4"	16.6662374	-0.05508841	0.173503061	0.960581884	-0.031739913
"Actinobacteria, Micrococcus 1"	-0.951804363	0.196940983	0.034368811	-0.262849282	-0.044963018
"Actinobacteria, Micrococcus 2"	-0.954536914	0.077539508	-0.001004916	-0.266277748	-0.036097544
"Actinobacteria, Micrococcus 3"	-0.951845894	0.152626402	-0.00578204	-0.264663461	-0.067550486
"Actinobacteria, Micrococcus 4"	-0.94986609	0.158535959	0.07084648	-0.290152537	-0.181653531
"Actinobacteria, Curtobacterium 1"	-0.941124712	0.162499051	-0.075471115	-0.426811205	-0.125924789
"Actinobacteria, Curtobacterium 2"	0.048265452	0.048179192	0.107396839	-0.028416867	0.098301783
"Actinobacteria, Curtobacterium 3"	0.06368549	0.069452293	0.102699175	-0.030622383	0.080883174
"Actinobacteria, Curtobacterium 4"	18.60975761	-0.014570293	0.211343095	0.617286225	0.137569245
"Actinobacteria, Rhodococcus 1"	-0.474288493	0.034409095	-0.180261361	-0.193160722	-0.039484488
"Actinobacteria, Rhodococcus 2"	-0.314864049	-0.014205348	-0.216828594	-0.014598034	-0.00135685
"Actinobacteria, Rhodococcus 3"	-0.65392559	0.019229075	-0.225755322	-0.180739794	-0.068307804
"Actinobacteria, Rhodococcus 4"	-0.28172061	0.016175619	-0.180102758	-0.050597152	0.014693923
"Firmicutes, Baccillus 1"	-0.017404438	-0.109216029	0.215810708	-0.095939333	-0.032831551
"Firmicutes, Baccillus 2"	-0.016059307	-0.216688473	0.303922299	-0.070169169	-0.238580822
"Firmicutes, Baccillus 3"	-0.066562456	-0.079779777	0.254333161	-0.034087128	-0.017170572
"Firmicutes, Baccillus 4"	-0.008606529	-0.170647484	0.22254629	-0.051775461	-0.242531008
